ID_Pesanan,Tanggal,Produk,Kategori,Jumlah,Harga_Satuan,Total_Penjualan
10001,2024-10-19,Non-Fiksi Ipsum,Buku,2.0,Rp36.294,Rp68.958
10002,2025-08-30,Nasi/Beras Nemo,Kebutuhan Pokok,1.0,Rp42.165,Rp33.732
10003,2023-11-04,Alat Jus (Juicer) Odio,Dapur,4.0,Rp64.876,Rp207.603
10004,2025-05-23,Minyak Doloribus,Kebutuhan Pokok,5.0,Rp37.320,Rp158.610
10005,2025-01-19,Pakaian Anak Quo,Pakaian,1.0,Rp50.037,Rp45.033
10006,2025-04-06,Kursi Assumenda,Furnitur,5.0,Rp40.287,Rp171.219
10007,2023-10-13,Aksesoris Minima,Pakaian,2.0,Rp3.636,Rp6.908
10008,2025-08-17,Biografi Vel,Buku,1.0,Rp15.885,Rp14.296
10009,2025-03-07,Spices Expedita,Kebutuhan Pokok,1.0,Rp40.834,Rp32.667
10010,2024-12-02,Alat Jus (Juicer) Voluptatibus,Dapur,2.0,Rp16.686,Rp28.366
10011,2025-08-24,Cookware Set Doloremque,Dapur,2.0,Rp10.761,Rp17.217
10012,2024-05-21,Perfume Itaque,Beauty,3.0,Rp27.066,Rp73.078
10013,2024-12-05,Vase Ratione,Home Decor,1.0,Rp53.951,Rp51.253
10014,2023-12-03,Women's Wear Optio,Pakaian,5.0,Rp23.843,Rp119.215
10015,2025-07-25,Alat Jus (Juicer) Debitis,Dapur,2.0,Rp15.444,Rp29.343
10016,2023-10-13,Laptop Numquam,Electronics,5.0,Rp51.645,Rp232.402
10017,2024-05-24,Smartwatch Ad,Electronics,3.0,Rp52.691,Rp134.362
10018,2025-09-07,Minyak Odio,Kebutuhan Pokok,4.0,Rp3.775,Rp13.590
10019,2024-06-15,Dumbbells Soluta,Sports,3.0,Rp16.579,Rp39.789
10020,2024-01-11,Textbook Inventore,Buku,5.0,Rp36.393,Rp172.866
10021,2023-10-15,Refrigerator Commodi,Dapur,1.0,Rp6.574,Rp5.259
10022,2024-03-16,Wheat Natus,Kebutuhan Pokok,5.0,Rp26.762,Rp113.738
10023,2023-11-02,Comics Aperiam,Buku,1.0,Rp47.699,Rp38.159
10024,2025-07-10,Face Cream Repellat,Beauty,1.0,Rp28.257,Rp25.431
10025,2025-06-21,Headphones Itaque,Electronics,5.0,Rp24.056,Rp96.224
10026,2024-01-13,Nasi/Beras Impedit,Kebutuhan Pokok,2.0,Rp65.756,Rp124.936
